"academia","andar","area","area_servico","banheiro","condominio","elevador","endereco","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","tipo","url","vaga","valor","varanda_gourmet","latitude","longitude"
NA,"2.0","72.0",NA,"2.0",NA,NA,"Magano, Garanhuns - PE",NA,"2610011428",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-magano-garanhuns-pe-72m2-id-2610011428/","1.0","250000.0",NA,-8.86478,-36.52015
"0",NA,"51.0","0","1.0",NA,"0","Dom Helder Camara, Garanhuns - PE","0","2623999204",NA,"0","1.0","0","0","2.0","0","0","0","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-playground-dom-helder-camara-garanhuns-pe-51m2-id-2623999204/","1.0","130000.0","0",-8.86532,-36.50062
NA,NA,"180.0",NA,"2.0",NA,NA,"Dom Helder Camara, Garanhuns - PE",NA,"2610009326",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-dom-helder-camara-garanhuns-pe-180m2-id-2610009326/","1.0","120000.0",NA,-8.86532,-36.50062
NA,NA,"110.0",NA,"2.0",NA,NA,"Avenida Doutor Godofredo de Barros Melo, 411 - Santo Antonio, Garanhuns - PE",NA,"2611621985",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-santo-antonio-garanhuns-pe-110m2-id-2611621985/","2.0","249000.0",NA,-8.88974,-36.4896
NA,NA,"130.0",NA,"1.0",NA,NA,"Rua D, 63 - Severiano de Moraes Filho, Garanhuns - PE",NA,"2610011105",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-severiano-de-moraes-filho-garanhuns-pe-130m2-id-2610011105/",NA,"145000.0",NA,-8.88361,-36.45677
"0",NA,"70.0","0","2.0",NA,"0","Boa Vista, Garanhuns - PE","0","2620456717",NA,"0","0","0","0","3.0","0","0","0","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-boa-vista-garanhuns-pe-70m2-id-2620456717/","2.0","209000.0","1.0",-8.91037,-36.4909
"0",NA,"120.0","0","1.0",NA,"0","Rua Euclides da Cunha, 102 - Novo Heliopolis, Garanhuns - PE","1.0","2617921033",NA,"0","0","0","0","2.0","0","0","0","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-jardim-novo-heliopolis-garanhuns-pe-120m2-id-2617921033/","1.0","270000.0","0",-8.86949998274,-36.455650029916
NA,NA,"500.0",NA,"1.0",NA,NA,"Travessa da Esperança, 1257 - Santo Antonio, Garanhuns - PE",NA,"2563375186",NA,NA,NA,NA,NA,"1.0",NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-1-quarto-santo-antonio-garanhuns-pe-500m2-id-2563375186/","1.0","1000000.0",NA,-8.89623746652,-36.492016333158
NA,NA,"900.0",NA,NA,NA,NA,"Heliopolis, Garanhuns - PE",NA,"2634742564",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-heliopolis-garanhuns-pe-900m2-id-2634742564/",NA,"500000.0",NA,-8.88638,-36.47507
NA,NA,"4635.0",NA,NA,NA,NA,"Severiano de Moraes Filho, Garanhuns - PE",NA,"2610009335",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-severiano-de-moraes-filho-garanhuns-pe-4635m2-id-2610009335/",NA,"45000.0",NA,-8.88361,-36.45677
NA,NA,"150.0",NA,"1.0",NA,NA,"Rua José Cardoso, 251 - Heliopolis, Garanhuns - PE",NA,"2627851164",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-heliopolis-garanhuns-pe-150m2-id-2627851164/","1.0","100000.0",NA,-8.88638,-36.47507
NA,NA,"252.0",NA,"3.0",NA,NA,"Sao Jose, Garanhuns - PE",NA,"2610008548",NA,NA,NA,NA,NA,"4.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-varanda-sao-jose-garanhuns-pe-252m2-id-2610008548/","2.0","250000.0",NA,-8.87509,-36.49635
NA,NA,"62.0",NA,"2.0",NA,NA,"Francisco Simao dos Santos Figueira, Garanhuns - PE",NA,"2610009333",NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-francisco-simao-dos-santos-figueira-garanhuns-pe-62m2-id-2610009333/","2.0","155000.0",NA,-8.90736,-36.47857
NA,NA,"320.0",NA,NA,NA,NA,"Severiano de Moraes Filho, Garanhuns - PE",NA,"2612570674",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-severiano-de-moraes-filho-garanhuns-pe-320m2-id-2612570674/",NA,"66000.0",NA,-8.88361,-36.45677
