academia,area,area_servico,banheiro,condominio,elevador,espaco_gourmet,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,vaga,valor,varanda_gourmet,latitude,longitude,area_aluguel,valor_aluguel,qnt_beneficio
0.0,187.0,0.0,3.0,690.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,1.0,449130.0,0.0,-7.110335898578,-34.824649561063,49.0,3000.0,24.0
1.0,68.0,1.0,2.0,,1.0,0.0,,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,apartamentos,2.0,390000.0,0.0,-7.1150428,-34.8567486,95.0,2850.0,15.0
0.0,208.0,0.0,6.0,1050.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,apartamentos,4.0,990000.0,0.0,-7.1050343,-34.8350873,60.0,2800.0,
0.0,115.0,0.0,1.0,,1.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,2.0,520000.0,0.0,-7.11955,-34.836,67.0,2550.0,92.0
0.0,90.0,1.0,1.0,500.0,1.0,0.0,,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,apartamentos,1.0,620000.0,0.0,-7.1155541,-34.8308672,49.0,3000.0,24.0
0.0,89.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,1.0,345000.0,0.0,-7.0812307,-34.8346477,62.0,3500.0,
0.0,263.0,1.0,4.0,1200.0,1.0,0.0,,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,apartamentos,3.0,580000.0,0.0,-7.117180618458,-34.840734102218,,,
0.0,164.0,1.0,4.0,,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,casas,3.0,650000.0,0.0,-7.14625,-34.83675,61.0,1500.0,120.0
0.0,124.0,0.0,2.0,800.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,apartamentos,,420000.0,0.0,-7.1235825,-34.8527981,60.0,2450.0,
0.0,148.0,0.0,3.0,1000.0,1.0,0.0,,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,apartamentos,2.0,790000.0,0.0,-7.1153426,-34.8257456,49.0,3000.0,24.0
0.0,58.0,0.0,1.0,100.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,144520.0,0.0,-7.1944034,-34.8664064,50.0,800.0,38.0
0.0,42.0,1.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,apartamentos,,515854.0,0.0,-7.1353414,-34.8196967,56.0,3500.0,
1.0,45.0,0.0,1.0,500.0,1.0,1.0,400.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,flats,1.0,420000.0,0.0,-7.135810012527,-34.819830011027,56.0,3500.0,
0.0,67.0,0.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,234800.0,0.0,-7.1150428,-34.8567486,95.0,2850.0,15.0
0.0,54.0,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,189900.0,0.0,-7.1511722,-34.8296508,61.0,1500.0,120.0
0.0,160.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,apartamentos,,600000.0,0.0,-7.1153426,-34.8257456,49.0,3000.0,24.0
1.0,100.0,1.0,3.0,628.0,1.0,1.0,,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,apartamentos,2.0,1050000.0,0.0,-7.1153426,-34.8257456,49.0,3000.0,24.0
